"Recipient","Year","Treatment_Cont","Abundance_response_nRR_0.1","abs_Abundance_response_nRR_0.1"
"Det1","2019","Joint_Cont",0.590142378594578,0.590142378594578
"Herb1","2017","Joint_Cont",-1.00330210886378,1.00330210886378
"Herb1","2018","Joint_Cont",-1.79175946922805,1.79175946922805
"Herb1","2019","Joint_Cont",-0.980829253011726,0.980829253011726
"Pred.P1","2017","Joint_Cont",-3.93182563272433,3.93182563272433
"Pred.P1","2018","Joint_Cont",-2.30258509299405,2.30258509299405
"Pred.P1","2019","Joint_Cont",-0.350202429433115,0.350202429433115
"Pred.B1","2017","Joint_Cont",-2.93119375241642,2.93119375241642
"Pred.B1","2018","Joint_Cont",-4.11087386417331,4.11087386417331
"Pred.B1","2019","Joint_Cont",-3.67376581630389,3.67376581630389
"Pred.S1","2017","Joint_Cont",1.17272026082183,1.17272026082183
"Pred.S1","2018","Joint_Cont",-0.567984037605939,0.567984037605939
"Pred.S1","2019","Joint_Cont",-0.425465774814834,0.425465774814834
"Moll1","2017","Joint_Cont",1.6419737024855,1.6419737024855
"Moll1","2018","Joint_Cont",2.51870402937129,2.51870402937129
"Moll1","2019","Joint_Cont",0.998613716151669,0.998613716151669
